scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Pleurochrysis dentata	Species	613543	Pleurochrysis	235825	(J.R.Johansen & G.J.Doucette) Probert, 2003	unaccepted	Chromista	Haptophyta	Prymnesiophyceae	Coccolithales	Pleurochrysidaceae	Pleurochrysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Haptophyta - [Class] Prymnesiophyceae - [Order] Coccolithales - [Family] Pleurochrysidaceae - [Genus] Pleurochrysis - [Species] Pleurochrysis dentata
Pleurochrysis placolithoides	Species	613544	Pleurochrysis	235825	J.Fresnel & C.Billard, 1991	unaccepted	Chromista	Haptophyta	Prymnesiophyceae	Coccolithales	Pleurochrysidaceae	Pleurochrysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Haptophyta - [Class] Prymnesiophyceae - [Order] Coccolithales - [Family] Pleurochrysidaceae - [Genus] Pleurochrysis - [Species] Pleurochrysis placolithoides
Pleurochrysis roscoffensis	Species	613545	Pleurochrysis	235825	(P.A.Dangeard) Fresnel & Billard, 1991	unaccepted	Chromista	Haptophyta	Prymnesiophyceae	Coccolithales	Pleurochrysidaceae	Pleurochrysis	[] Biota - [Kingdom] Chromista - [Subkingdom] Hacrobia - [Phylum] Haptophyta - [Class] Prymnesiophyceae - [Order] Coccolithales - [Family] Pleurochrysidaceae - [Genus] Pleurochrysis - [Species] Pleurochrysis roscoffensis
Quadricoccus euryhalinicus	Species	613622	Quadricoccus	601055	Kuylenstierna, 1998	accepted	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Quadricoccus	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Phylum (Division)] Chlorophyta - [Subphylum (Subdivision)] Chlorophytina - [Class] Trebouxiophyceae - [Order] Chlorellales - [Family] Oocystaceae - [Genus] Quadricoccus - [Species] Quadricoccus euryhalinicus
Reimeria uniseriata	Species	613635	Reimeria	175782	S.E.Sala, J.M.Guerrero & M.E.Ferrario, 1993	accepted	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Reimeria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Cymbellales - [Family] Gomphonemataceae - [Genus] Reimeria - [Species] Reimeria uniseriata
Rhabdogloea planctonica	Species	613639	Rhabdogloea	177449	(Teiling) Komárek, 1983	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Rhabdogloea	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Synechococcaceae - [Subfamily] Synechococcoideae - [Genus] Rhabdogloea - [Species] Rhabdogloea planctonica
Stauroneis gracilior	Species	613782	Stauroneis	149077	Reichardt, 1995	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Stauroneis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Stauroneidaceae - [Genus] Stauroneis - [Species] Stauroneis gracilior
Stauroneis heinii	Species	613783	Stauroneis	149077	H. Lange-Bertalot & K. Krammer in H. Lange-Bertalot & S. I. Genkal, 1999	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Stauroneis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Stauroneidaceae - [Genus] Stauroneis - [Species] Stauroneis heinii
Stauroneis leguminopsis	Species	613789	Stauroneis	149077	Lange-Bertalot & K.Krammer, 1999	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Stauroneidaceae	Stauroneis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Stauroneidaceae - [Genus] Stauroneis - [Species] Stauroneis leguminopsis
Surirella terricola	Species	613878	Surirella	149084	Lange-Bertalot & E.Alles, 1996	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Surirellales - [Family] Surirellaceae - [Genus] Surirella - [Species] Surirella terricola
